circuito;nombre_circuito;establecimiento;domicilio;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD;Blancos;Nulos;1º;2º;3º;4º;5º;6º
175;SANTA FE (MARIA SELVA);E.P.I. Nº 1123 ANTONIA M.VERNA;DIAGONAL AGUIRRE 2737;380;253;273;82;56;37;22;71;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);E.P.I. Nº 1140 MONS.C.MACAGNO;PEDRO DE VEGA 1558;385;274;336;89;73;60;28;70;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);ESC. PRIM. Nº 136 G.PEREZ DE DENIS;1RO DE MAYO 6855;427;345;342;117;80;44;13;81;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);ESC. PRIM. Nº 139 J.STEPHENSON (ANEXO 1);LAS HERAS 6975;401;265;334;89;78;62;17;61;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);ESC. PRIM. Nº 139 J.STEPHENSON (ANEXO 2);LAS HERAS 6975;342;284;288;109;63;52;23;85;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);ESC. PRIM. Nº 578 B.DOMINGUEZ;AVDA A DEL VALLE 6301;420;329;375;128;76;67;25;81;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);ESC. PRIM. Nº 618 ING.JULIO BELLO;RICARDO ALDAO 1659;291;216;255;84;50;36;7;49;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
175;SANTA FE (MARIA SELVA);JARDIN INF. Nº 1268 J.SACRAMENTADO;RICARDO ALDAO 1575;66;43;66;11;11;8;5;11;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
180;SANTA FE (CENTENARIO);E.E.T.P. Nº 647 DR.PEDRO LUCAS FUNES;AVDA URQUIZA 794;169;143;94;37;30;27;7;35;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
180;SANTA FE (CENTENARIO);E.P.I. Nº 1162 SAN A.DE PADUA;AVDA J J PASO 3349;270;267;148;59;73;17;14;59;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;PROPUESTA FEDERAL;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD
180;SANTA FE (CENTENARIO);ESC. PRIM. Nº 1258 SIMON BOLIVAR;MALVINAS ARGENTINAS 3749;415;317;230;87;92;36;19;73;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;PROPUESTA FEDERAL;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD
180;SANTA FE (CENTENARIO);ESC. PRIM. Nº 20 DR.M.QUIROGA;ZAVALIA 866;435;356;164;87;93;38;10;76;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;PROPUESTA FEDERAL;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD
185;SANTA FE (SGTO.BUSTAMANTE);ESC. PRIM. Nº 29 SGTO.P.BUSTAMANTE;AVDA A DEL VALLE 4435;467;282;413;169;57;66;37;82;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
185;SANTA FE (SGTO.BUSTAMANTE);ESC. PRIM. Nº 465 DR.W.ESCALANTE;MARTIN ZAPATA 2849;430;262;298;149;62;60;27;55;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
185;SANTA FE (SGTO.BUSTAMANTE);ESC. PRIM. Nº 534 REP.DE BOLIVIA;AVDA FACUNDO ZUVIRIA 4363;329;206;312;115;49;66;22;51;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
190;SANTA FE (EL POZO);E.E.S.O. Nº 389 JULIO MIGNO;LELOIR LUIS FEDERICO 1101;225;233;142;115;59;32;18;46;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
190;SANTA FE (EL POZO);ESC. PRIM. Nº 1317 J.M.DE ROSAS;RECTOR MARTINEZ PEDRO 1179;366;369;277;176;106;57;16;66;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
192;ALTO VERDE;E.E.S.O.P.I. Nº 2042 JESUS RESUCITADO;MANZANA 2-TERRRAPLEN A 100M. DE CALLE DE METRIO GOMEZ 6;285;290;97;58;49;28;21;83;MÁS PARA SANTA FE;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
192;ALTO VERDE;ESC. PRIM. Nº 533 V.MONTES;DEMETRIO GOMEZ S/N - MANZANA 7;272;253;90;54;53;38;17;57;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
192;ALTO VERDE;ESC. PRIM. Nº95 SIMON DE IRIONDO;DEMETRIO GOMEZ S/N - MANZANA 2;461;365;130;101;73;41;19;87;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
194;COLASTINE;ESC. PRIM. Nº 39 9 DE JULIO;CARCARAES 5971;395;224;215;82;42;40;20;65;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
194;COLASTINE;ESC. PRIM. Nº 869 JULIO A.ROCA;RUTA 1 - KM.4;578;247;356;135;53;74;23;77;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
194;COLASTINE;ESC.PRIM.Nº1126 REPÚBLICA DE ITALIA;EX ATRACADERO DE LA BALSA;188;92;105;39;16;20;9;21;UNIDOS PARA CAMBIAR SANTA FE;LA LIBERTAD AVANZA;MÁS PARA SANTA FE;SANTA FE EN COMUN;SOMOS VIDA Y LIBERTAD;PROPUESTA FEDERAL
196;LA GUARDIA;ESC. PRIM. Nº 941 JUAN A.MARTINEZ;AVENIDA DE PETRE S/N;331;176;102;60;46;31;20;52;UNIDOS PARA CAMBIAR SANTA FE;MÁS PARA SANTA FE;LA LIBERTAD AVANZA;SANTA FE EN COMUN;PROPUESTA FEDERAL;SOMOS VIDA Y LIBERTAD
